frame,scenario,fps,preproc_ms,forward_ms,conf_filter_ms,nms_ms,total_ms,num_raw_boxes,num_final_boxes
1,clean,7.62,0.033,125.13,1.585,4.55,131.32,92,10
2,clean,16.51,0.042,59.51,0.36,0.66,60.58,34,4
3,clean,28.7,0.022,33.93,0.263,0.631,34.84,35,5
4,clean,22.8,0.021,41.19,0.279,2.363,43.86,64,8
5,clean,25.32,0.027,38.44,0.402,0.626,39.49,31,4
6,clean,25.34,0.018,38.16,0.53,0.753,39.46,25,3
7,clean,20.11,0.014,48.4,0.274,1.028,49.72,57,8
8,clean,24.41,0.012,39.34,0.287,1.329,40.97,68,11
9,clean,23.89,0.023,39.49,0.266,2.081,41.86,29,5
10,clean,20.84,0.019,45.87,0.333,1.773,48.0,94,15
11,clean,25.7,0.013,37.71,0.288,0.906,38.92,63,8
12,clean,27.69,0.018,35.1,0.283,0.704,36.11,34,5
13,clean,23.01,0.022,42.55,0.265,0.622,43.46,27,4
14,clean,24.13,0.015,40.34,0.266,0.817,41.44,53,7
15,clean,26.14,0.022,37.07,0.272,0.898,38.26,55,7
16,clean,21.86,0.022,44.91,0.285,0.52,45.74,29,3
17,clean,26.54,0.023,36.76,0.259,0.635,37.67,47,4
18,clean,26.87,0.022,35.65,0.267,1.278,37.22,55,7
19,clean,23.29,0.037,41.58,0.276,1.03,42.93,66,8
20,clean,21.51,0.018,43.96,0.37,2.133,46.48,40,5
21,clean,19.01,0.021,51.17,0.265,1.156,52.62,81,9
22,clean,24.98,0.026,38.26,0.361,1.379,40.03,69,9
23,clean,24.59,0.016,39.82,0.301,0.532,40.67,34,4
24,clean,19.6,0.024,49.9,0.281,0.812,51.02,34,4
25,clean,25.69,0.027,37.88,0.28,0.746,38.93,58,5
26,clean,23.71,0.031,40.47,0.818,0.862,42.18,26,2
27,clean,26.27,0.043,36.94,0.263,0.826,38.07,44,7
28,clean,30.34,0.015,32.16,0.266,0.511,32.96,24,3
29,clean,20.35,0.023,47.73,0.493,0.888,49.13,40,7
30,clean,26.51,0.017,36.85,0.28,0.58,37.72,32,4
31,clean,30.12,0.018,32.03,0.264,0.892,33.21,65,8
32,clean,19.2,0.027,51.04,0.263,0.76,52.09,54,5
33,clean,24.33,0.02,40.27,0.278,0.52,41.09,26,3
34,clean,23.1,0.014,42.13,0.264,0.868,43.28,59,7
35,clean,20.75,0.027,45.87,0.261,2.031,48.19,54,6
36,clean,24.12,0.018,40.15,0.273,1.009,41.46,66,9
37,clean,25.52,0.018,38.26,0.271,0.63,39.18,28,5
38,clean,20.35,0.026,48.09,0.278,0.747,49.15,34,4
39,clean,22.37,0.024,43.68,0.298,0.705,44.71,29,3
40,clean,20.52,0.06,47.6,0.286,0.776,48.72,37,6
41,clean,26.83,0.03,36.33,0.273,0.644,37.27,29,4
42,clean,23.72,0.028,40.14,0.662,1.328,42.16,48,7
43,clean,22.98,0.018,41.95,0.281,1.265,43.52,67,10
44,clean,26.08,0.036,37.55,0.281,0.483,38.35,26,2
45,clean,24.81,0.026,38.59,0.266,1.416,40.3,85,11
46,clean,19.12,0.033,51.16,0.268,0.843,52.3,52,7
47,clean,23.89,0.02,41.02,0.273,0.535,41.85,48,4
48,clean,24.53,0.025,37.5,0.264,2.974,40.77,70,10
49,clean,22.19,0.039,44.1,0.276,0.642,45.06,52,4
50,clean,20.76,0.026,46.99,0.29,0.853,48.16,53,6
51,clean,20.74,0.023,47.11,0.275,0.817,48.23,42,5
52,clean,27.36,0.015,35.52,0.355,0.654,36.55,42,5
53,clean,23.64,0.022,41.27,0.255,0.755,42.31,42,6
54,clean,21.51,0.034,45.05,0.278,1.137,46.5,74,8
55,clean,26.06,0.026,37.04,0.269,1.036,38.38,51,9
56,clean,22.72,0.024,41.74,0.355,1.902,44.02,69,10
57,clean,26.3,0.028,36.77,0.28,0.939,38.02,56,7
58,clean,25.86,0.028,37.16,0.273,1.207,38.67,72,10
59,clean,21.37,0.019,45.79,0.28,0.708,46.8,44,6
60,clean,26.33,0.023,37.14,0.258,0.557,37.98,27,3
61,clean,26.03,0.024,37.35,0.276,0.77,38.42,32,4
62,clean,21.24,0.02,45.7,0.341,1.028,47.09,36,5
63,clean,25.56,0.021,37.7,0.439,0.953,39.12,41,5
64,clean,26.97,0.021,36.28,0.261,0.514,37.08,29,3
65,clean,21.61,0.025,45.05,0.265,0.941,46.28,62,7
66,clean,26.31,0.024,37.18,0.267,0.533,38.01,37,4
67,clean,26.29,0.043,37.06,0.267,0.658,38.03,25,4
68,clean,20.29,0.032,46.54,0.261,2.453,49.29,44,5
69,clean,27.07,0.019,35.92,0.261,0.74,36.94,47,6
70,clean,19.32,0.027,50.52,0.27,0.946,51.77,52,7
71,clean,25.6,0.026,37.75,0.261,1.03,39.07,69,8
72,clean,26.72,0.017,36.13,0.415,0.855,37.42,36,5
73,clean,20.53,0.022,47.65,0.27,0.758,48.7,27,5
74,clean,23.16,0.024,41.78,0.274,1.096,43.18,65,9
75,clean,25.44,0.023,38.0,0.266,1.013,39.31,46,7
76,clean,22.46,0.017,43.36,0.266,0.886,44.53,42,6
77,clean,27.94,0.047,34.74,0.253,0.753,35.8,38,4
78,clean,25.32,0.016,38.46,0.26,0.754,39.49,38,5
79,clean,20.96,0.014,47.01,0.268,0.43,47.72,27,2
80,clean,25.49,0.122,38.23,0.314,0.566,39.24,22,4
81,clean,23.46,0.034,40.26,0.654,1.68,42.63,64,9
82,clean,24.89,0.116,38.67,0.266,1.12,40.17,67,10
83,clean,25.32,0.026,38.57,0.278,0.621,39.49,36,5
84,clean,21.76,0.024,44.74,0.27,0.921,45.96,64,8
85,clean,26.83,0.023,35.73,0.264,1.256,37.28,78,11
86,clean,23.28,0.044,41.1,0.841,0.962,42.96,48,6
87,clean,20.54,0.014,47.45,0.287,0.932,48.68,51,8
88,clean,28.32,0.017,34.51,0.26,0.52,35.3,17,3
89,clean,26.9,0.022,36.46,0.27,0.423,37.18,25,3
90,clean,22.44,0.02,43.49,0.268,0.786,44.56,38,5
91,clean,26.03,0.017,37.04,0.331,1.028,38.42,53,8
92,clean,23.04,0.02,41.77,0.702,0.909,43.41,36,4
93,clean,20.52,0.019,47.67,0.285,0.764,48.74,37,6
94,clean,23.09,0.021,41.99,0.301,0.99,43.31,34,5
95,clean,21.0,0.027,46.46,0.289,0.833,47.61,48,5
96,clean,24.99,0.022,37.42,0.303,2.27,40.02,33,4
97,clean,24.96,0.023,38.66,0.277,1.092,40.06,66,7
98,clean,20.47,0.019,47.75,0.261,0.811,48.84,52,6
99,clean,23.88,0.016,40.82,0.277,0.764,41.88,41,6
100,clean,22.01,0.024,44.44,0.312,0.653,45.43,29,4
101,clean,21.15,0.024,45.57,0.276,1.404,47.27,71,9
102,clean,24.24,0.026,39.79,0.292,1.142,41.25,65,10
103,clean,19.49,0.018,50.47,0.272,0.537,51.3,44,4
104,clean,24.43,0.021,39.75,0.291,0.866,40.93,57,7
105,clean,27.25,0.019,35.42,0.26,0.991,36.69,37,6
106,clean,20.78,0.02,46.31,0.387,1.393,48.11,56,8
107,clean,22.37,0.02,43.86,0.277,0.53,44.69,31,3
108,clean,26.38,0.021,36.86,0.369,0.656,37.91,28,5
109,clean,22.38,0.025,43.42,0.268,0.971,44.69,65,8
110,clean,25.87,0.022,37.91,0.268,0.457,38.66,26,3
111,clean,20.45,0.025,46.92,0.307,1.643,48.9,95,12
112,clean,24.96,0.027,39.27,0.317,0.45,40.07,27,3
113,clean,23.53,0.015,41.41,0.26,0.821,42.5,48,6
114,clean,22.55,0.026,42.81,0.273,1.243,44.35,94,11
115,clean,27.09,0.014,35.42,0.432,1.038,36.91,75,8
116,clean,25.37,0.016,38.52,0.277,0.592,39.41,36,4
117,clean,20.26,0.017,48.65,0.267,0.426,49.36,29,2
118,clean,24.14,0.016,40.03,0.5,0.877,41.43,50,7
119,clean,24.0,0.028,40.12,0.287,1.217,41.66,18,3
120,clean,21.68,0.024,44.26,0.4,1.433,46.12,55,8
