frame,scenario,fps,preproc_ms,forward_ms,conf_filter_ms,nms_ms,total_ms,num_raw_boxes,num_final_boxes
1,digital,23.69,0.026,38.2,0.764,3.211,42.21,118,16
2,digital,20.07,0.021,48.9,0.271,0.62,49.82,39,4
3,digital,24.09,0.023,40.01,0.472,1.009,41.52,42,4
4,digital,22.82,0.02,42.45,0.283,1.059,43.82,65,8
5,digital,20.85,0.027,46.79,0.286,0.864,47.97,39,4
6,digital,26.86,0.026,36.38,0.256,0.572,37.23,29,3
7,digital,24.94,0.019,38.57,0.279,1.23,40.1,83,10
8,digital,23.12,0.016,41.74,0.264,1.226,43.25,71,11
9,digital,21.86,0.022,44.72,0.284,0.704,45.74,39,5
10,digital,19.98,0.013,48.35,0.277,1.409,50.05,75,13
11,digital,25.61,0.021,37.24,0.271,1.516,39.05,97,13
12,digital,27.31,0.035,35.57,0.273,0.729,36.61,45,5
13,digital,21.49,0.014,45.38,0.28,0.864,46.54,46,7
14,digital,25.82,0.014,37.27,0.283,1.154,38.72,78,9
15,digital,25.39,0.014,37.88,0.272,1.227,39.39,80,10
16,digital,20.32,0.013,48.26,0.269,0.67,49.22,38,4
17,digital,25.54,0.02,37.94,0.266,0.936,39.16,60,7
18,digital,26.74,0.027,36.3,0.271,0.791,37.39,60,6
19,digital,11.11,0.029,84.6,0.605,4.733,89.97,76,10
20,digital,12.34,0.035,79.57,0.404,0.994,81.01,24,4
21,digital,12.42,0.041,75.76,0.66,4.038,80.51,57,8
22,digital,9.25,0.044,106.13,0.432,1.553,108.17,88,11
23,digital,12.29,0.062,78.26,0.55,2.514,81.39,37,4
24,digital,17.55,0.035,55.95,0.28,0.72,56.98,44,5
25,digital,18.97,0.012,50.86,0.282,1.562,52.73,54,6
26,digital,26.76,0.018,36.42,0.329,0.592,37.36,37,4
27,digital,21.42,0.023,45.31,0.26,1.085,46.68,55,8
28,digital,25.95,0.019,37.63,0.26,0.634,38.54,43,4
29,digital,23.48,0.022,40.0,0.628,1.933,42.59,54,6
30,digital,21.45,0.017,45.61,0.259,0.727,46.62,42,6
31,digital,23.63,0.014,40.88,0.28,1.143,42.32,74,10
32,digital,21.21,0.024,46.03,0.276,0.803,47.14,56,6
33,digital,25.06,0.02,37.66,0.272,1.954,39.91,36,5
34,digital,24.14,0.023,40.4,0.267,0.729,41.42,58,6
35,digital,20.9,0.014,46.62,0.28,0.918,47.84,56,7
36,digital,20.19,0.013,48.01,0.285,1.228,49.54,69,10
37,digital,28.28,0.022,34.2,0.268,0.866,35.36,40,6
38,digital,21.93,0.035,44.74,0.276,0.56,45.61,29,4
39,digital,25.47,0.013,38.46,0.268,0.527,39.27,25,3
40,digital,21.6,0.015,45.27,0.272,0.736,46.29,50,5
41,digital,23.06,0.016,42.24,0.276,0.838,43.37,51,5
42,digital,22.46,0.025,43.3,0.272,0.928,44.53,48,8
43,digital,20.85,0.035,46.3,0.274,1.345,47.95,87,11
44,digital,28.05,0.027,34.85,0.259,0.514,35.65,37,3
45,digital,24.48,0.016,39.16,0.275,1.395,40.84,97,12
46,digital,20.3,0.031,47.3,0.272,1.651,49.26,69,8
47,digital,22.4,0.024,43.67,0.272,0.669,44.64,55,4
48,digital,19.27,0.04,50.24,0.264,1.347,51.9,76,12
49,digital,27.02,0.023,35.89,0.261,0.827,37.01,63,6
