frame,scenario,fps,preproc_ms,forward_ms,conf_filter_ms,nms_ms,total_ms,num_raw_boxes,num_final_boxes
1,physical,6.41,0.049,147.12,0.842,8.078,156.09,102,12
2,physical,6.59,0.051,145.9,1.284,4.412,151.65,45,5
3,physical,5.93,0.036,164.91,0.813,2.855,168.64,42,4
4,physical,6.38,0.036,151.31,0.842,4.549,156.74,62,8
5,physical,6.64,0.037,145.81,0.775,3.969,150.6,37,4
6,physical,5.31,0.044,184.58,0.769,2.77,188.17,39,4
7,physical,6.87,0.061,137.83,1.202,6.402,145.5,76,10
8,physical,4.46,0.043,212.58,1.613,10.019,224.26,66,10
9,physical,5.74,0.074,165.91,1.481,6.881,174.36,35,5
10,physical,4.37,0.072,216.07,1.605,11.168,228.93,64,10
11,physical,3.77,0.079,253.24,1.452,10.765,265.55,79,9
12,physical,6.1,0.043,159.22,0.704,3.846,163.82,45,6
13,physical,6.74,0.032,143.98,1.102,3.351,148.47,25,4
14,physical,5.56,0.07,167.95,1.316,10.608,179.96,82,11
15,physical,6.98,0.082,136.89,0.856,5.503,143.34,69,8
16,physical,6.23,0.041,155.24,1.222,3.973,160.49,38,4
17,physical,6.27,0.075,153.26,0.959,5.296,159.61,61,7
18,physical,6.05,0.084,158.24,1.163,5.878,165.38,60,7
19,physical,7.29,0.052,130.97,0.647,5.537,137.21,73,10
20,physical,8.72,0.038,111.6,0.655,2.388,114.69,24,3
21,physical,7.94,0.028,121.1,0.64,4.116,125.89,52,8
22,physical,8.09,0.031,116.02,0.968,6.579,123.6,70,9
23,physical,4.65,0.062,207.69,1.22,6.177,215.16,49,5
24,physical,4.89,0.078,198.72,1.248,4.654,204.71,52,5
25,physical,8.48,0.04,112.48,0.765,4.634,117.92,44,5
26,physical,8.32,0.074,116.52,0.928,2.632,120.16,36,2
27,physical,7.19,0.055,133.78,0.617,4.593,139.06,53,8
28,physical,5.98,0.033,162.86,1.327,2.908,167.14,40,4
29,physical,7.29,0.048,129.44,1.239,6.506,137.24,56,6
30,physical,4.66,0.042,207.9,1.447,4.976,214.37,41,5
31,physical,6.2,0.085,155.12,0.653,5.444,161.31,74,9
32,physical,5.18,0.062,186.06,1.29,5.642,193.06,56,6
33,physical,8.08,0.066,116.65,1.593,5.417,123.74,34,4
34,physical,5.59,0.064,173.23,1.098,4.529,178.93,67,7
35,physical,6.64,0.039,145.06,0.85,4.726,150.68,56,7
36,physical,6.83,0.058,139.47,0.832,6.027,146.4,62,9
37,physical,6.8,0.061,140.8,0.999,5.275,147.14,40,6
38,physical,6.92,0.053,141.13,0.77,2.584,144.54,31,4
39,physical,7.73,0.036,126.21,0.999,2.095,129.35,29,4
40,physical,5.82,0.057,165.4,1.291,5.178,171.94,42,5
41,physical,4.53,0.078,215.16,0.619,4.794,220.66,61,9
42,physical,6.76,0.033,138.98,1.904,7.089,148.01,43,7
43,physical,7.49,0.052,128.37,0.576,4.525,133.53,75,10
44,physical,7.55,0.037,128.54,1.011,2.922,132.52,36,3
45,physical,7.45,0.041,125.37,0.844,8.032,134.29,92,12
46,physical,8.15,0.047,115.78,0.732,6.132,122.7,62,8
47,physical,7.9,0.048,123.23,0.658,2.702,126.65,61,4
48,physical,7.74,0.035,121.32,0.721,7.171,129.25,79,12
49,physical,7.17,0.033,134.08,1.167,4.228,139.52,65,5
50,physical,5.67,0.041,169.58,1.05,5.596,176.27,58,6
51,physical,7.53,0.045,127.35,0.909,4.422,132.74,50,6
52,physical,8.16,0.039,118.72,0.798,3.004,122.56,64,6
53,physical,8.93,0.032,107.88,0.668,3.445,112.03,40,6
54,physical,8.13,0.033,116.68,0.576,5.751,123.05,90,12
55,physical,8.39,0.035,114.23,0.673,4.2,119.14,63,8
56,physical,8.37,0.034,112.82,0.605,6.02,119.49,71,11
57,physical,7.84,0.031,121.37,0.881,5.222,127.51,66,8
58,physical,7.64,0.041,124.98,0.666,5.16,130.85,76,10
